Параметры лексем	Ижорский (сойкинский) [Nirvi]	Ижорский (сойкинский) [учебная]	Финский	Эстонский	Немецкий	Комментарии
n	āmpūssen [Ro]	aampuussen [Ro]	"tähed ""(kirjaimet)"""			
n	āmu | aamu [Nar] [Ro]	aamu	aamu			
adj, adv	āmuin [Ylä-L]	aamuin [Ylä-L]	ammoinen | ammoin			
n	āmuin | aamuin [Nar]	aamuin	aamu			
adv	āmuⁱZèl | aamusel [Nar]	aamuisel | aamusel	aamusella			
n	ānnua | aannua | āǹua [Hev]	aannua | aanua [Hev]	?			"""sivulta halkinainen musta hame, ylhäältä alas asti avonainen aannua. Halkinainen puoli on asetettu vasemmalle sivulle, «kurapuolelle», ja aannuata kannattaa halkeaman yläreunaan kiinnitetty, vasemman olan yli käyvä olkamus. Aannua on n. metrin pituinen ja - - se ulottuu ylhäällä hartioihin kainaloiden alle, alhaalla se tapaa nilkkoihin. Vyötäisiltä sitä kiinnittää ruumiin ympäri sidottu eteen solmittu vyö, vyy. Värttinällä itse kehrätyistä villalangoista on aannua neljällä niidellä kudottu ja itse ommeltu. Leveyttä on siinä kaksi palttinaa (kankaan koko leveyttä) ja reunoissa viistot laijat, niin että helmän pituus on 140-150 cm sekä yläreunan 75-80 cm"" (Pau SM 19 s. 39)"
n	ārnitsa	aarnitsa	ostokankaasta valmistettu naisten puku			
n	āstaGa | āstoⁱGa | āstaika [L-suu] [Ro]	aastaka | aastoika | aastoka | aastaika [L-suu] [Ro]	vuosi			
n	ātto	aatto	aatto	eelõhtu		
v	āttua	aattua	tottua | käydä tavaksi			
			asettua | tyyntyä			
